index,case:concept:name,activity,type,act_str
485,case_223C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
115,case_110C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7]"
131,case_112C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7]"
519,case_258C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7]"
285,case_133C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]"
55,case_104C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7]"
191,case_120C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]"
419,case_163C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7]"
63,case_105C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7]"
346,case_141C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7]"
418,case_161C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7]"
486,case_225C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]"
498,case_231C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]"
24,case_101C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7]"
515,case_255C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 4, 5, 6, 7, 0, 3, 5, 6, 7]"
221,case_125C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 4, 5, 6, 7]"
405,case_154C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]"
484,case_221C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7]"
207,case_122C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7]"
457,case_19C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7]"
941,case_96C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]"
681,case_49C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7, 0, 3, 5, 6, 7]"
439,case_186C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7]"
364,case_144C2,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]"
490,case_22C2,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 4, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 3, 5, 6, 7, 0, 4, 5, 6, 7]"
532,case_268C2,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]",C,"[0, 1, 5, 6, 7, 0, 3, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7, 0, 2, 5, 6, 7]"
107,case_10L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]"
233,case_126L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]"
877,case_84L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7]"
184,case_11L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]"
575,case_30L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7]"
918,case_90L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]"
97,case_109L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]"
646,case_43L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]"
340,case_140L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7]"
83,case_107L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7]"
640,case_42L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7]"
201,case_121L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7]"
950,case_98L1,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]",L,"[0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 0, 1, 2, 3, 4, 5, 6, 7, 0, 1, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7, 2, 3, 4, 5, 6, 7]"
